feature,importance
CO(GT)_r24_mean,37.351871490478516
CO(GT)_lag12_r12_mean,32.847801208496094
hour,15.513503074645996
NMHC(GT)_lag3_r3_mean,14.234891891479492
CO(GT)_r24_std,10.458348274230957
CO(GT)_lag3_r3_mean,9.486047744750977
PT08.S2(NMHC)_r12_std,9.059149742126465
CO(GT)_lag1_r6_mean,8.703968048095703
CO(GT)_lag1_r24_mean,8.575310707092285
NMHC(GT)_r6_mean,7.750856399536133
NOx(GT)_lag3_r6_std,7.718421459197998
NOx(GT)_lag3_r6_mean,7.5216593742370605
NOx(GT)_lag12_r12_mean,6.948814392089844
CO(GT),6.7680583000183105
CO(GT)_lag12_r3_mean,6.549805164337158
NOx(GT)_r3_mean,6.431498050689697
CO(GT)_r3_std,6.418452262878418
CO(GT)_r3_mean,6.360784530639648
CO(GT)_r6_std,6.221269130706787
NMHC(GT)_lag6,5.929177284240723
NMHC(GT)_r12_mean,5.92042350769043
CO(GT)_lag6_r3_mean,5.791356086730957
weekday,5.7579426765441895
NMHC(GT)_lag1,5.67353630065918
NOx(GT)_r24_mean,5.609705924987793
PT08.S4(NO2)_lag24_r24_mean,5.3381428718566895
NO2(GT)_r3_std,5.241767883300781
NMHC(GT)_lag6_r24_std,5.229284286499023
CO(GT)_lag1_r6_std,5.2171711921691895
NOx(GT)_lag2_r6_mean,5.178092956542969
NOx(GT)_lag2_r24_mean,5.110721588134766
NMHC(GT)_lag6_r3_mean,5.012426853179932
PT08.S2(NMHC)_lag2_r12_mean,4.990496635437012
NMHC(GT)_lag3_r24_mean,4.907691955566406
CO(GT)_lag3,4.860747814178467
CO(GT)_lag1_r3_mean,4.803549289703369
NO2(GT)_lag1_r3_std,4.778987407684326
PT08.S2(NMHC)_lag3_r6_std,4.72937536239624
CO(GT)_r12_std,4.714432716369629
NOx(GT)_lag1_r6_mean,4.704757213592529
NMHC(GT)_lag3,4.703812599182129
NOx(GT)_r12_std,4.654371738433838
CO(GT)_r12_mean,4.629371643066406
T_lag6_r24_mean,4.548901557922363
PT08.S2(NMHC)_lag6_r24_std,4.5438456535339355
NMHC(GT)_lag12,4.496140480041504
NOx(GT)_r24_std,4.34879207611084
C6H6(GT)_r24_std,4.337033748626709
PT08.S5(O3)_lag12_r12_mean,4.332936763763428
PT08.S4(NO2)_lag3_r24_std,4.287540912628174
NMHC(GT)_lag12_r24_std,4.217309474945068
CO(GT)_lag2_r3_std,4.1601948738098145
NMHC(GT)_lag24_r3_mean,3.9744293689727783
CO(GT)_lag2_r12_mean,3.9714558124542236
T_lag6_r12_std,3.9531283378601074
PT08.S2(NMHC)_lag12_r6_mean,3.9286696910858154
CO(GT)_lag2_r3_mean,3.9165987968444824
CO(GT)_lag3_r6_std,3.8884122371673584
PT08.S2(NMHC)_lag12_r12_mean,3.791327476501465
CO(GT)_lag1_r24_std,3.7681920528411865
NO2(GT)_lag12_r3_mean,3.7501742839813232
NO2(GT)_r6_mean,3.750094175338745
C6H6(GT)_r24_mean,3.7163445949554443
C6H6(GT)_r6_mean,3.6611359119415283
CO(GT)_lag1,3.6441245079040527
RH_lag6_r12_std,3.6435585021972656
NMHC(GT)_lag2_r3_mean,3.6319029331207275
PT08.S5(O3)_lag1_r24_mean,3.5554134845733643
CO(GT)_r6_mean,3.526142120361328
C6H6(GT)_lag3_r24_std,3.513932943344116
PT08.S2(NMHC)_r6_mean,3.507049798965454
NO2(GT)_lag24,3.4919698238372803
T_lag2_r24_mean,3.4879090785980225
NOx(GT)_lag1_r12_mean,3.476915121078491
T_lag12_r24_mean,3.451866388320923
CO(GT)_lag6_r12_mean,3.401777744293213
CO(GT)_lag3_r24_std,3.383218765258789
PT08.S1(CO)_lag1_r24_mean,3.3758456707000732
PT08.S2(NMHC)_lag12_r12_std,3.3394320011138916
PT08.S4(NO2)_r3_mean,3.332887649536133
NMHC(GT)_lag24_r24_mean,3.324422836303711
NOx(GT)_lag2_r24_std,3.310946464538574
NMHC(GT)_lag24_r6_mean,3.3057968616485596
CO(GT)_lag1_r3_std,3.3028926849365234
NOx(GT)_lag3_r24_std,3.2975268363952637
T_r3_mean,3.2973599433898926
CO(GT)_lag12_r12_std,3.287034034729004
NMHC(GT),3.2861838340759277
C6H6(GT)_lag12_r6_mean,3.27950119972229
