feature,importance
CO(GT),35.563697814941406
CO(GT)_r3_mean,27.44111442565918
PT08.S2(NMHC),8.98662281036377
CO(GT)_r3_std,6.279256820678711
hour,5.281986713409424
CO(GT)_lag1_r6_std,5.102500915527344
CO(GT)_r6_std,4.99811315536499
CO(GT)_lag1,4.6101460456848145
C6H6(GT),4.26078462600708
NOx(GT),4.022140979766846
CO(GT)_lag2_r6_std,3.89734148979187
CO(GT)_lag2_r3_std,3.5574285984039307
CO(GT)_lag6_r6_mean,3.4193384647369385
CO(GT)_lag1_r3_mean,3.3645124435424805
CO(GT)_lag12,2.950657844543457
NOx(GT)_lag3_r12_std,2.759873151779175
PT08.S2(NMHC)_lag3_r12_std,2.682616949081421
RH_lag6_r6_mean,2.6355984210968018
CO(GT)_lag12_r3_mean,2.6302671432495117
PT08.S2(NMHC)_r3_std,2.5320687294006348
NMHC(GT)_lag2_r24_std,2.505183458328247
CO(GT)_lag3_r24_std,2.4002318382263184
CO(GT)_lag2_r3_mean,2.3956573009490967
NOx(GT)_lag6_r3_mean,2.3950538635253906
C6H6(GT)_lag2_r3_mean,2.3818397521972656
RH_r6_mean,2.347208261489868
NOx(GT)_r3_std,2.3222131729125977
PT08.S1(CO),2.302757740020752
CO(GT)_lag3_r3_std,2.282968759536743
NOx(GT)_lag3_r24_std,2.266252279281616
C6H6(GT)_lag2,2.2624125480651855
NMHC(GT)_lag12_r6_std,2.2509779930114746
CO(GT)_r12_std,2.2287089824676514
weekday,2.193448543548584
T_r6_std,2.192997455596924
NOx(GT)_r24_mean,2.1551756858825684
CO(GT)_lag3,2.1184463500976562
NOx(GT)_lag6_r6_mean,2.066972017288208
CO(GT)_r24_std,2.0439934730529785
CO(GT)_lag1_r3_std,2.0386693477630615
NOx(GT)_lag2_r3_std,2.0198466777801514
CO(GT)_lag12_r12_std,2.014444351196289
RH_lag6_r3_mean,2.003950834274292
NOx(GT)_lag2_r3_mean,1.9948844909667969
PT08.S2(NMHC)_lag3,1.9816522598266602
CO(GT)_lag2,1.9799596071243286
NO2(GT)_lag12,1.9625431299209595
CO(GT)_lag12_r12_mean,1.9624444246292114
PT08.S2(NMHC)_lag2_r12_std,1.9421736001968384
T_lag6_r12_mean,1.9179631471633911
PT08.S2(NMHC)_lag12_r12_mean,1.904381513595581
CO(GT)_lag6,1.8976141214370728
CO(GT)_lag3_r3_mean,1.887097716331482
CO(GT)_lag2_r12_mean,1.8597830533981323
C6H6(GT)_lag1_r12_mean,1.8432706594467163
PT08.S4(NO2)_lag2_r6_std,1.8255232572555542
NO2(GT),1.824292540550232
NMHC(GT)_lag1_r6_std,1.8232498168945312
PT08.S5(O3),1.8202159404754639
NOx(GT)_lag3_r24_mean,1.8131617307662964
CO(GT)_lag6_r3_mean,1.8110384941101074
PT08.S4(NO2)_lag1_r6_std,1.7971043586730957
PT08.S1(CO)_lag2_r3_mean,1.792690634727478
CO(GT)_r12_mean,1.788356065750122
T_lag12_r3_mean,1.7876425981521606
C6H6(GT)_lag12,1.7798519134521484
CO(GT)_r24_mean,1.7775650024414062
CO(GT)_lag2_r12_std,1.7741174697875977
PT08.S5(O3)_lag6_r12_mean,1.7726960182189941
NMHC(GT)_r6_std,1.7621526718139648
NOx(GT)_lag12_r24_std,1.7592887878417969
T_lag24_r24_mean,1.7547322511672974
C6H6(GT)_lag1_r3_mean,1.7435681819915771
C6H6(GT)_lag3,1.733705759048462
NMHC(GT)_lag12,1.7321395874023438
NO2(GT)_lag12_r3_mean,1.7308284044265747
NOx(GT)_lag24_r3_std,1.730563998222351
PT08.S2(NMHC)_lag2,1.7200939655303955
NOx(GT)_lag2_r12_mean,1.7178232669830322
NMHC(GT)_lag12_r24_std,1.7156072854995728
NMHC(GT)_lag6_r6_std,1.7057650089263916
PT08.S4(NO2)_lag12_r3_mean,1.6940473318099976
NMHC(GT)_r3_std,1.69231379032135
RH_lag2_r24_mean,1.6700307130813599
C6H6(GT)_lag2_r6_std,1.6574418544769287
CO(GT)_lag12_r3_std,1.6492276191711426
PT08.S1(CO)_lag12_r3_mean,1.646597146987915
CO(GT)_lag3_r6_mean,1.6463276147842407
CO(GT)_lag1_r12_std,1.642289638519287
PT08.S5(O3)_lag6,1.638832449913025
NOx(GT)_lag12_r3_mean,1.62765371799469
NOx(GT)_lag12_r12_mean,1.6213488578796387
CO(GT)_r6_mean,1.6195530891418457
PT08.S5(O3)_r24_mean,1.6183725595474243
NO2(GT)_lag1_r12_mean,1.613034963607788
PT08.S2(NMHC)_r3_mean,1.6069719791412354
PT08.S4(NO2)_lag1,1.6052383184432983
C6H6(GT)_lag1_r6_std,1.6028146743774414
C6H6(GT)_lag3_r12_std,1.6005868911743164
CO(GT)_lag3_r12_mean,1.597244381904602
NMHC(GT)_lag6_r3_mean,1.594469666481018
NOx(GT)_lag6_r24_std,1.5890251398086548
T_lag12,1.5828741788864136
NMHC(GT)_lag24_r6_mean,1.5812225341796875
PT08.S3(NOx)_lag2_r12_std,1.579068660736084
C6H6(GT)_r3_std,1.5743322372436523
PT08.S5(O3)_lag6_r24_std,1.5669128894805908
PT08.S2(NMHC)_lag12_r3_mean,1.5654443502426147
T_r12_mean,1.55918550491333
NMHC(GT)_lag12_r3_mean,1.5511393547058105
PT08.S4(NO2)_lag2,1.5510051250457764
C6H6(GT)_lag1_r12_std,1.5493714809417725
PT08.S3(NOx)_lag3_r12_std,1.5452063083648682
CO(GT)_lag1_r24_std,1.5439953804016113
CO(GT)_lag3_r6_std,1.5409797430038452
RH_lag3_r12_mean,1.5366848707199097
PT08.S1(CO)_lag12_r12_mean,1.5356470346450806
CO(GT)_lag1_r24_mean,1.5353472232818604
PT08.S3(NOx)_lag12_r3_mean,1.5330445766448975
NOx(GT)_lag1_r3_mean,1.5296823978424072
T_lag1_r24_std,1.520029067993164
NMHC(GT)_lag24,1.518680214881897
NO2(GT)_lag24_r24_mean,1.5154376029968262
NMHC(GT)_r6_mean,1.5051647424697876
PT08.S5(O3)_lag3_r24_mean,1.5050398111343384
NMHC(GT)_lag3_r6_std,1.501302719116211
NOx(GT)_lag1_r12_mean,1.5005978345870972
PT08.S2(NMHC)_lag6_r24_std,1.4998489618301392
C6H6(GT)_lag12_r12_mean,1.4985871315002441
PT08.S5(O3)_lag1_r12_mean,1.4837695360183716
PT08.S5(O3)_lag12,1.4811363220214844
NOx(GT)_lag1_r24_mean,1.473423719406128
PT08.S1(CO)_lag3_r12_std,1.4731746912002563
C6H6(GT)_lag3_r24_std,1.4666712284088135
PT08.S5(O3)_lag12_r24_mean,1.4645057916641235
NO2(GT)_lag2_r24_mean,1.458508849143982
PT08.S5(O3)_lag6_r3_mean,1.4514281749725342
NOx(GT)_lag3,1.4500139951705933
NO2(GT)_lag3_r3_mean,1.4475764036178589
PT08.S1(CO)_lag2_r12_std,1.4464101791381836
RH_lag1_r6_std,1.4461039304733276
NO2(GT)_r24_mean,1.4420137405395508
PT08.S5(O3)_lag12_r3_mean,1.44125497341156
NMHC(GT)_lag24_r6_std,1.436898946762085
PT08.S5(O3)_lag2_r6_mean,1.4345974922180176
PT08.S1(CO)_lag2_r6_std,1.4312946796417236
PT08.S3(NOx)_lag24_r3_std,1.4310193061828613
PT08.S5(O3)_lag24_r12_mean,1.4307676553726196
NOx(GT)_lag1_r12_std,1.4245681762695312
NMHC(GT)_lag24_r3_std,1.4241880178451538
C6H6(GT)_lag1_r24_mean,1.4219298362731934
PT08.S3(NOx)_lag24_r6_mean,1.4218902587890625
NOx(GT)_r24_std,1.4191702604293823
T_lag24_r12_mean,1.4147565364837646
C6H6(GT)_lag12_r3_mean,1.4147125482559204
NO2(GT)_lag2_r6_std,1.410849690437317
NOx(GT)_lag24_r24_std,1.4089938402175903
NMHC(GT)_lag2_r6_std,1.4088202714920044
PT08.S5(O3)_lag1_r6_std,1.4070178270339966
PT08.S2(NMHC)_lag6_r12_mean,1.4066667556762695
PT08.S5(O3)_lag12_r3_std,1.4027034044265747
C6H6(GT)_lag24_r24_std,1.402569055557251
C6H6(GT)_lag1,1.4016096591949463
PT08.S5(O3)_lag1_r24_mean,1.401314377784729
