feature,importance
CO(GT)_lag12,85.19175720214844
CO(GT)_lag12_r3_mean,58.48898696899414
NOx(GT)_lag12,51.43009948730469
NMHC(GT)_lag3,31.338489532470703
NOx(GT)_lag12_r3_mean,30.890949249267578
PT08.S1(CO)_lag12,18.791006088256836
NMHC(GT)_lag2,17.971616744995117
PT08.S2(NMHC)_lag12,17.454137802124023
PT08.S4(NO2)_lag6_r6_std,16.851308822631836
NOx(GT)_r24_mean,16.647775650024414
PT08.S2(NMHC)_lag6_r6_std,15.433724403381348
C6H6(GT)_lag12,15.120353698730469
C6H6(GT)_lag3_r12_std,14.08099365234375
NMHC(GT)_lag6_r6_mean,14.037086486816406
CO(GT)_lag1_r12_std,14.01652717590332
PT08.S2(NMHC)_lag12_r3_mean,13.776123046875
PT08.S1(CO)_lag12_r3_mean,13.517562866210938
CO(GT)_lag12_r6_mean,13.376569747924805
hour,12.993446350097656
CO(GT)_lag2_r12_std,12.925455093383789
CO(GT)_r24_std,12.589770317077637
CO(GT)_lag3_r12_std,12.536112785339355
PT08.S2(NMHC)_lag6_r12_std,12.337692260742188
PT08.S2(NMHC)_lag3,12.303970336914062
NOx(GT)_r12_mean,12.300786972045898
CO(GT)_r12_std,12.199668884277344
weekday,12.115147590637207
T_lag12,11.994489669799805
T_lag1_r12_std,11.848307609558105
T_lag24_r3_mean,11.787904739379883
PT08.S2(NMHC)_lag3_r24_mean,11.735029220581055
C6H6(GT)_lag6_r6_std,11.648521423339844
NO2(GT)_lag2_r24_mean,11.594069480895996
T_lag2_r12_std,11.500401496887207
T_lag1_r12_mean,11.413572311401367
CO(GT)_r12_mean,11.409684181213379
NMHC(GT)_lag6,11.348333358764648
CO(GT)_r3_std,11.239192008972168
C6H6(GT)_lag12_r3_mean,11.217742919921875
PT08.S3(NOx)_lag12_r24_std,11.209845542907715
NO2(GT)_lag12,11.149023056030273
NMHC(GT)_lag12,11.006138801574707
PT08.S1(CO)_lag6_r12_std,10.965283393859863
PT08.S2(NMHC)_lag2_r24_mean,10.946704864501953
NMHC(GT),10.934752464294434
CO(GT)_r6_std,10.861525535583496
NMHC(GT)_lag12_r6_mean,10.605342864990234
CO(GT),10.469034194946289
PT08.S4(NO2)_lag3_r12_std,10.453045845031738
RH_lag24_r12_std,10.408415794372559
CO(GT)_lag2_r3_mean,10.346365928649902
PT08.S2(NMHC)_lag2_r24_std,10.33242130279541
T,10.12641429901123
C6H6(GT)_lag3,10.121235847473145
PT08.S2(NMHC)_lag1_r12_std,10.022159576416016
T_r12_std,9.992253303527832
C6H6(GT)_lag1_r12_std,9.897684097290039
C6H6(GT)_lag3_r12_mean,9.892132759094238
T_lag6_r12_mean,9.8604736328125
PT08.S2(NMHC)_lag3_r3_mean,9.729084014892578
PT08.S4(NO2)_lag24_r24_mean,9.718533515930176
PT08.S1(CO)_lag3_r12_std,9.670966148376465
NOx(GT)_lag2_r24_std,9.597274780273438
NMHC(GT)_lag3_r24_mean,9.573535919189453
NO2(GT)_r3_std,9.555840492248535
T_lag3,9.536916732788086
CO(GT)_lag2_r6_std,9.510676383972168
NOx(GT)_lag3_r3_std,9.469781875610352
NO2(GT)_r6_std,9.458284378051758
C6H6(GT)_lag12_r3_std,9.435410499572754
PT08.S5(O3)_lag12_r3_std,9.42466926574707
NO2(GT)_lag3_r24_mean,9.390771865844727
T_lag1_r3_mean,9.3634614944458
CO(GT)_lag2_r24_mean,9.354715347290039
PT08.S3(NOx)_lag2_r6_std,9.34609317779541
CO(GT)_lag2_r24_std,9.340169906616211
CO(GT)_r3_mean,9.32949161529541
NO2(GT)_lag6,9.328459739685059
PT08.S2(NMHC)_r24_std,9.280034065246582
CO(GT)_lag3_r3_std,9.20786190032959
NOx(GT)_lag1_r24_std,9.201958656311035
CO(GT)_lag1_r24_mean,9.182246208190918
CO(GT)_lag1_r24_std,9.12836742401123
CO(GT)_lag1_r12_mean,9.108307838439941
PT08.S2(NMHC)_lag1_r24_std,9.107338905334473
C6H6(GT)_lag1_r24_mean,9.075610160827637
CO(GT)_lag1_r6_std,9.056209564208984
PT08.S5(O3)_lag12,8.978802680969238
PT08.S4(NO2)_r24_std,8.962753295898438
NO2(GT)_lag12_r12_mean,8.956013679504395
T_r3_mean,8.93770694732666
RH,8.921642303466797
PT08.S3(NOx)_lag12,8.8933687210083
PT08.S2(NMHC)_lag2_r12_std,8.80405044555664
NOx(GT)_lag3_r12_mean,8.778813362121582
CO(GT)_lag1,8.700088500976562
CO(GT)_lag6_r6_mean,8.662504196166992
T_lag3_r6_std,8.655402183532715
PT08.S4(NO2)_r3_std,8.649436950683594
CO(GT)_lag1_r6_mean,8.644100189208984
NO2(GT)_lag1_r24_mean,8.625237464904785
NMHC(GT)_r24_mean,8.623990058898926
CO(GT)_lag1_r3_std,8.62009334564209
PT08.S1(CO)_lag12_r24_mean,8.617043495178223
PT08.S2(NMHC)_lag6_r24_std,8.59997844696045
T_lag3_r24_mean,8.59177017211914
T_lag24,8.569525718688965
month,8.523704528808594
PT08.S3(NOx)_lag24_r12_mean,8.493857383728027
PT08.S1(CO)_lag3_r24_std,8.49229621887207
RH_lag2_r12_std,8.46694564819336
T_lag24_r24_mean,8.440935134887695
T_lag3_r3_mean,8.43524169921875
NO2(GT)_lag6_r3_mean,8.433006286621094
C6H6(GT)_lag12_r24_mean,8.424057006835938
T_lag2_r3_mean,8.375348091125488
PT08.S3(NOx)_r3_std,8.370800971984863
T_lag24_r6_mean,8.317756652832031
C6H6(GT)_lag12_r6_std,8.290657997131348
PT08.S2(NMHC)_lag12_r24_mean,8.27904987335205
NOx(GT)_lag3_r24_std,8.267087936401367
PT08.S5(O3)_lag2_r24_mean,8.257765769958496
C6H6(GT)_lag2_r12_std,8.206268310546875
T_lag6_r6_mean,8.193830490112305
NO2(GT)_r24_mean,8.190201759338379
C6H6(GT)_lag1_r12_mean,8.164250373840332
PT08.S2(NMHC)_r12_mean,8.16065788269043
CO(GT)_lag2_r12_mean,8.141983985900879
NOx(GT)_r24_std,8.109953880310059
PT08.S1(CO)_lag24_r24_mean,8.109655380249023
CO(GT)_lag2_r6_mean,8.078314781188965
T_lag12_r6_std,8.049764633178711
PT08.S1(CO)_lag12_r3_std,8.048306465148926
NO2(GT)_lag3_r24_std,8.044846534729004
CO(GT)_r6_mean,8.026782035827637
CO(GT)_lag3_r24_std,8.016141891479492
