feature,importance
CO(GT),58.448509216308594
CO(GT)_r3_mean,21.73396873474121
hour,13.696149826049805
NOx(GT),13.667986869812012
NOx(GT)_r3_mean,11.567727088928223
CO(GT)_lag1,11.270527839660645
PT08.S2(NMHC)_r3_mean,10.913739204406738
NOx(GT)_lag1,9.410565376281738
PT08.S2(NMHC),8.51140022277832
weekday,8.505205154418945
T_lag6_r24_mean,8.352791786193848
T_lag2_r24_mean,7.572591781616211
NMHC(GT)_lag6_r24_mean,7.41134786605835
T_lag3_r24_mean,7.361411094665527
PT08.S4(NO2)_lag12_r24_mean,6.8321332931518555
NMHC(GT)_lag2,6.522781848907471
NMHC(GT)_lag2_r6_mean,6.516652584075928
NOx(GT)_lag3_r6_mean,6.482146263122559
NOx(GT)_lag1_r3_mean,6.419130802154541
PT08.S1(CO)_lag3_r24_mean,6.346736431121826
PT08.S1(CO)_r3_mean,6.320663928985596
C6H6(GT)_r3_mean,6.3027215003967285
T_lag24_r24_mean,6.01758337020874
CO(GT)_lag3_r6_std,5.998177528381348
NMHC(GT)_lag6,5.955943584442139
CO(GT)_r3_std,5.903780937194824
NOx(GT)_lag2_r24_std,5.898930072784424
PT08.S2(NMHC)_lag1_r24_mean,5.838553428649902
NO2(GT)_lag1_r12_mean,5.698691368103027
PT08.S3(NOx)_r24_std,5.663417816162109
NOx(GT)_lag6_r24_std,5.523510456085205
NMHC(GT)_lag3_r3_mean,5.523087024688721
NMHC(GT)_lag12_r24_mean,5.479092121124268
PT08.S2(NMHC)_lag3_r3_mean,5.470330715179443
CO(GT)_lag2_r6_std,5.466033458709717
T_r24_mean,5.462818622589111
NOx(GT)_lag2_r24_mean,5.458436012268066
PT08.S4(NO2)_lag6_r24_mean,5.447481155395508
anomaly_flag,5.4337005615234375
PT08.S2(NMHC)_r24_mean,5.423446178436279
NMHC(GT)_lag3_r24_mean,5.412044525146484
NO2(GT)_lag2_r12_mean,5.391045570373535
month,5.364022731781006
NOx(GT)_lag2_r6_mean,5.328605651855469
PT08.S3(NOx)_lag12_r12_mean,5.322393417358398
PT08.S3(NOx)_lag3_r24_std,5.318928241729736
T_lag12_r24_mean,5.209875583648682
NMHC(GT)_lag3_r24_std,5.168989658355713
T_lag6_r24_std,5.086794853210449
NMHC(GT)_lag1_r12_std,5.0702385902404785
NOx(GT)_r12_mean,5.06514310836792
NOx(GT)_lag24_r6_std,5.03925085067749
AH_lag6_r24_std,5.020503520965576
NMHC(GT)_lag1_r6_mean,5.001089572906494
NO2(GT)_r3_std,4.99739933013916
T_lag6_r3_mean,4.991570949554443
CO(GT)_lag2_r3_std,4.985626220703125
PT08.S2(NMHC)_r24_std,4.949263572692871
AH_lag6_r24_mean,4.947188854217529
NOx(GT)_lag1_r12_mean,4.91880464553833
PT08.S5(O3)_lag2_r24_mean,4.912231922149658
T_lag12_r3_mean,4.849945545196533
PT08.S4(NO2)_lag24_r12_mean,4.810235500335693
RH_lag2_r24_mean,4.797384738922119
PT08.S2(NMHC)_lag2_r6_mean,4.784214496612549
PT08.S4(NO2)_lag3_r6_std,4.775367736816406
PT08.S3(NOx)_lag3_r24_mean,4.774131774902344
AH_lag24_r24_mean,4.744811058044434
PT08.S1(CO)_lag12_r24_mean,4.714721202850342
AH_lag2_r12_mean,4.683305740356445
RH_lag6_r24_mean,4.669863224029541
CO(GT)_r24_std,4.642056465148926
CO(GT)_lag6_r24_std,4.609779357910156
T,4.5966081619262695
RH_lag6_r24_std,4.588403224945068
NO2(GT)_lag1_r3_std,4.586518287658691
PT08.S2(NMHC)_lag12_r12_mean,4.575009822845459
PT08.S5(O3)_lag6_r6_mean,4.5716447830200195
AH_lag24_r6_mean,4.565134525299072
C6H6(GT)_lag1_r6_mean,4.56477689743042
NO2(GT)_lag3_r24_mean,4.56023645401001
PT08.S3(NOx)_lag1_r24_std,4.559399604797363
NO2(GT)_lag6_r24_mean,4.558185577392578
NOx(GT)_r24_std,4.5558977127075195
PT08.S3(NOx)_lag6_r12_std,4.554282188415527
NMHC(GT)_lag24_r12_mean,4.546498775482178
RH_lag1_r24_mean,4.536994934082031
NOx(GT)_lag6,4.531109809875488
NO2(GT)_lag3_r12_mean,4.527373313903809
NMHC(GT)_r3_mean,4.49697732925415
NMHC(GT)_lag1_r6_std,4.493624687194824
NMHC(GT)_lag6_r6_std,4.492195129394531
C6H6(GT)_r6_std,4.481017112731934
C6H6(GT)_lag6_r24_mean,4.452056407928467
NO2(GT)_lag6_r6_mean,4.442286491394043
PT08.S5(O3)_lag3_r12_mean,4.434383869171143
PT08.S2(NMHC)_lag24_r24_mean,4.434332370758057
NOx(GT)_lag24_r6_mean,4.431319236755371
NOx(GT)_lag24_r24_std,4.417836666107178
PT08.S4(NO2)_lag3_r3_mean,4.395411491394043
CO(GT)_lag24_r24_std,4.384314060211182
T_lag12_r6_mean,4.3841633796691895
T_lag12,4.369219779968262
NO2(GT)_r6_std,4.3623366355896
NMHC(GT)_lag24_r3_std,4.3565897941589355
AH_lag1_r6_mean,4.353666305541992
C6H6(GT)_lag12_r24_mean,4.34706449508667
NOx(GT)_lag1_r24_mean,4.337503433227539
AH_lag3_r24_mean,4.322683811187744
PT08.S3(NOx)_lag24_r24_mean,4.316208362579346
T_lag2_r24_std,4.30502986907959
CO(GT)_lag1_r3_std,4.297779560089111
NOx(GT)_lag1_r24_std,4.2959465980529785
RH_lag2_r3_mean,4.288455486297607
PT08.S2(NMHC)_lag3_r24_std,4.285495758056641
PT08.S2(NMHC)_lag24_r6_mean,4.269636631011963
CO(GT)_lag3_r24_std,4.256860256195068
RH_lag3_r24_mean,4.255167484283447
C6H6(GT),4.2487592697143555
NOx(GT)_lag12_r24_std,4.244279384613037
T_r3_mean,4.2428460121154785
NOx(GT)_lag12_r24_mean,4.222225189208984
NO2(GT)_lag6,4.215317249298096
PT08.S1(CO)_lag2_r12_mean,4.213814735412598
CO(GT)_lag12_r24_std,4.211956977844238
T_lag3_r12_mean,4.209894180297852
PT08.S2(NMHC)_lag24_r3_mean,4.202902793884277
NO2(GT)_lag3_r6_mean,4.193645477294922
NO2(GT)_lag12_r6_mean,4.190452575683594
NMHC(GT)_lag24_r24_mean,4.1849164962768555
CO(GT)_lag2_r24_std,4.178684234619141
NMHC(GT)_lag6_r24_std,4.152069568634033
PT08.S5(O3)_r3_std,4.1379218101501465
NOx(GT)_lag24_r12_std,4.137054443359375
T_lag1_r24_mean,4.125219821929932
AH_lag24_r12_mean,4.1240458488464355
CO(GT)_lag3,4.109442234039307
PT08.S2(NMHC)_r12_mean,4.086546897888184
PT08.S5(O3)_lag6_r24_mean,4.074665546417236
NO2(GT)_lag3_r12_std,4.05822229385376
RH_lag24_r3_mean,4.042040824890137
C6H6(GT)_lag24_r24_mean,4.040040016174316
NO2(GT)_r12_mean,4.028428554534912
RH_lag3_r12_mean,4.015875816345215
CO(GT)_lag2,4.014458179473877
CO(GT)_r12_mean,4.010566234588623
PT08.S3(NOx)_lag2_r24_std,4.010014533996582
NMHC(GT)_r6_std,4.008866786956787
PT08.S4(NO2)_lag12_r12_mean,4.007627964019775
PT08.S5(O3)_lag2_r6_mean,3.987339973449707
PT08.S1(CO)_r24_mean,3.9849486351013184
RH_lag12_r24_mean,3.9772627353668213
RH_lag3_r24_std,3.9651730060577393
NMHC(GT)_lag24_r3_mean,3.956796646118164
RH_lag12,3.9442672729492188
PT08.S1(CO)_r12_mean,3.9375362396240234
NOx(GT)_lag3_r24_mean,3.9356815814971924
T_lag1_r24_std,3.9297704696655273
NOx(GT)_lag3_r24_std,3.924421787261963
PT08.S2(NMHC)_lag1_r6_mean,3.9221644401550293
NO2(GT)_lag6_r24_std,3.9194791316986084
C6H6(GT)_lag3_r24_mean,3.9180169105529785
AH_lag12_r12_mean,3.9086222648620605
PT08.S5(O3)_lag24_r24_mean,3.885500431060791
PT08.S4(NO2)_lag24_r24_mean,3.8801040649414062
PT08.S3(NOx)_lag3_r12_std,3.862431049346924
NOx(GT)_lag3_r3_mean,3.860966205596924
PT08.S5(O3)_lag1_r6_mean,3.8597412109375
PT08.S3(NOx)_lag12_r24_mean,3.852998971939087
PT08.S4(NO2)_lag1_r12_mean,3.851886510848999
C6H6(GT)_lag3_r6_mean,3.8396339416503906
RH_r6_mean,3.838191509246826
PT08.S1(CO)_lag12_r24_std,3.8259196281433105
NOx(GT)_lag24,3.8170816898345947
PT08.S4(NO2)_r24_mean,3.810307502746582
NMHC(GT)_lag1_r24_std,3.7999184131622314
CO(GT)_r6_std,3.795264959335327
PT08.S1(CO),3.788547992706299
AH_lag1_r12_mean,3.785541534423828
PT08.S3(NOx)_lag1_r24_mean,3.780299186706543
PT08.S4(NO2)_r12_mean,3.7654125690460205
PT08.S4(NO2)_lag24_r12_std,3.7638118267059326
T_r24_std,3.7615251541137695
NO2(GT)_lag2_r6_mean,3.7475974559783936
PT08.S1(CO)_r24_std,3.7454943656921387
NO2(GT)_lag1_r24_mean,3.7347912788391113
CO(GT)_lag2_r6_mean,3.7341201305389404
PT08.S3(NOx)_lag6_r12_mean,3.7335360050201416
PT08.S2(NMHC)_lag3_r6_mean,3.719477415084839
PT08.S1(CO)_lag1_r3_mean,3.7181429862976074
NMHC(GT)_lag2_r6_std,3.712968349456787
NOx(GT)_lag12_r12_mean,3.712078094482422
PT08.S3(NOx)_lag2_r24_mean,3.7066574096679688
AH_lag2_r24_std,3.7037224769592285
CO(GT)_lag6_r12_std,3.7028422355651855
PT08.S5(O3)_lag12_r12_std,3.687668800354004
PT08.S5(O3)_lag12_r6_mean,3.682966709136963
T_lag3_r6_mean,3.682644844055176
PT08.S1(CO)_lag2_r24_std,3.680936098098755
NMHC(GT)_lag3_r12_std,3.6785221099853516
NOx(GT)_lag24_r24_mean,3.6767702102661133
NMHC(GT)_r12_std,3.668072462081909
