feature,importance
CO(GT)_lag12,73.4730453491211
CO(GT)_lag12_r3_mean,55.12533950805664
NOx(GT)_lag12,36.4821891784668
NMHC(GT)_lag24_r3_mean,23.02109718322754
NOx(GT)_lag12_r3_mean,16.648900985717773
NMHC(GT)_lag2,15.813241004943848
PT08.S2(NMHC)_lag12,14.21295166015625
NMHC(GT)_lag2_r24_mean,13.640958786010742
NOx(GT)_r24_mean,13.59063720703125
C6H6(GT)_lag3_r12_std,13.107258796691895
PT08.S2(NMHC)_lag6_r6_std,12.460357666015625
PT08.S1(CO)_lag12,11.693634033203125
NMHC(GT)_lag12_r6_mean,11.69308853149414
CO(GT)_r12_std,11.353261947631836
CO(GT)_lag1_r12_std,11.086653709411621
CO(GT)_lag2_r12_std,11.039878845214844
hour,10.334110260009766
PT08.S2(NMHC)_lag12_r3_mean,10.312172889709473
weekday,9.857878684997559
CO(GT)_lag6_r12_mean,9.635632514953613
NOx(GT)_lag1_r24_mean,9.331233024597168
PT08.S3(NOx)_lag12_r24_std,9.159859657287598
NO2(GT)_lag1_r24_mean,9.154664993286133
CO(GT)_r12_mean,9.081018447875977
CO(GT),8.987573623657227
CO(GT)_lag2_r3_mean,8.927021980285645
C6H6(GT)_lag2_r12_std,8.768744468688965
PT08.S1(CO)_lag3_r12_std,8.649978637695312
CO(GT)_r6_std,8.624564170837402
NMHC(GT)_lag1_r3_mean,8.52859878540039
PT08.S1(CO)_lag12_r3_mean,8.483753204345703
NMHC(GT)_lag6_r3_mean,8.324274063110352
CO(GT)_r24_std,8.257599830627441
C6H6(GT)_lag12,8.134777069091797
T_lag2_r12_std,7.856618881225586
CO(GT)_r3_std,7.828094482421875
NMHC(GT)_lag12_r6_std,7.746959209442139
CO(GT)_lag1_r24_std,7.427229404449463
NO2(GT)_lag2_r3_mean,7.403595447540283
NOx(GT)_r12_mean,7.302042007446289
CO(GT)_r24_mean,7.199089050292969
NO2(GT)_r24_mean,7.1852641105651855
RH_r3_mean,7.180520534515381
NO2(GT)_lag6,7.091188907623291
PT08.S2(NMHC)_lag3,7.0554962158203125
CO(GT)_lag1_r12_mean,7.009768009185791
RH,6.96444845199585
NO2(GT)_lag6_r3_mean,6.964314937591553
NOx(GT)_lag1_r12_mean,6.927913188934326
CO(GT)_lag1_r6_std,6.877269744873047
T_lag2_r3_mean,6.850826263427734
NO2(GT)_lag2_r24_mean,6.819360733032227
T_lag24_r6_mean,6.813910961151123
NO2(GT)_r3_std,6.795189380645752
NO2(GT)_r6_std,6.78344202041626
RH_lag24_r12_std,6.757529258728027
C6H6(GT)_lag2_r12_mean,6.70733642578125
C6H6(GT)_lag1_r24_std,6.700894832611084
NO2(GT)_lag12_r12_mean,6.686736583709717
PT08.S2(NMHC)_lag6_r12_std,6.666436672210693
PT08.S2(NMHC)_lag2_r12_std,6.643460750579834
NMHC(GT)_lag3,6.5915679931640625
PT08.S4(NO2)_lag24_r24_mean,6.5241923332214355
NMHC(GT)_lag6_r24_mean,6.511700630187988
PT08.S2(NMHC)_lag6_r6_mean,6.440326690673828
