feature,importance
CO(GT)_lag12_r12_mean,25.99894905090332
CO(GT)_r24_mean,24.9517879486084
hour,12.189046859741211
PT08.S2(NMHC)_r12_std,11.400184631347656
CO(GT)_lag1_r24_mean,10.554996490478516
CO(GT)_r24_std,8.4362154006958
CO(GT)_lag3_r3_mean,8.029471397399902
CO(GT)_r12_mean,6.828218936920166
CO(GT)_lag1_r24_std,5.942124366760254
NMHC(GT)_lag1,5.8323750495910645
NOx(GT)_lag12_r12_mean,5.783419609069824
NMHC(GT)_r6_mean,5.7477192878723145
CO(GT),5.640847206115723
CO(GT)_r6_std,5.54307222366333
NMHC(GT)_lag1_r24_mean,5.479516983032227
NMHC(GT)_r12_mean,5.466004371643066
NOx(GT)_lag3_r6_std,5.2937703132629395
NOx(GT)_r24_mean,5.233574390411377
NMHC(GT)_lag24_r24_mean,5.130554676055908
CO(GT)_lag12_r3_mean,4.815178394317627
CO(GT)_lag1_r6_mean,4.807209491729736
NOx(GT)_lag3_r6_mean,4.749549388885498
NOx(GT)_lag2_r6_mean,4.662421703338623
NO2(GT)_r6_std,4.45831298828125
NOx(GT)_lag1_r24_mean,4.450785160064697
NOx(GT)_lag2_r24_mean,4.431511402130127
NMHC(GT)_lag3_r3_mean,4.360406875610352
CO(GT)_r3_std,4.343744277954102
CO(GT)_lag2_r24_std,4.243205547332764
weekday,4.143380641937256
CO(GT)_lag3,4.021945953369141
NMHC(GT)_lag12_r24_mean,3.9810760021209717
NMHC(GT)_lag3_r24_mean,3.956111431121826
NMHC(GT)_lag6,3.7479665279388428
CO(GT)_lag2_r24_mean,3.658069610595703
NOx(GT)_r12_std,3.6567225456237793
CO(GT)_r3_mean,3.574606418609619
T_lag6_r6_mean,3.5301384925842285
PT08.S5(O3)_lag12_r12_mean,3.483766794204712
CO(GT)_lag12_r6_mean,3.4828548431396484
CO(GT)_lag1_r6_std,3.4406933784484863
CO(GT)_lag1_r3_mean,3.366481065750122
T_lag6_r12_std,3.3319356441497803
PT08.S4(NO2)_lag24_r24_mean,3.3276352882385254
CO(GT)_r12_std,3.32289457321167
T_lag2_r24_mean,3.2597365379333496
CO(GT)_r6_mean,3.205206871032715
NOx(GT)_r3_mean,3.183820962905884
CO(GT)_lag1_r12_mean,3.1464571952819824
T_lag3_r6_mean,3.086277961730957
NO2(GT)_r3_std,3.0683140754699707
CO(GT)_lag1_r3_std,3.0637128353118896
NMHC(GT)_lag12_r3_mean,3.044052839279175
NMHC(GT)_lag24_r6_mean,3.0273869037628174
PT08.S4(NO2)_lag3_r24_std,3.0192794799804688
CO(GT)_lag3_r24_mean,3.012983798980713
CO(GT)_lag6_r3_mean,2.992340326309204
NOx(GT)_lag12_r12_std,2.986542224884033
PT08.S5(O3)_lag2_r6_mean,2.986027717590332
PT08.S2(NMHC)_lag3_r6_std,2.9699904918670654
CO(GT)_lag3_r24_std,2.9342429637908936
NO2(GT)_r6_mean,2.9221181869506836
CO(GT)_lag2_r3_std,2.9125559329986572
NMHC(GT)_lag2_r24_mean,2.890934467315674
CO(GT)_lag2,2.8721401691436768
CO(GT)_lag3_r6_std,2.8274924755096436
NO2(GT)_lag24,2.805377721786499
AH_lag1_r24_mean,2.7960078716278076
CO(GT)_lag1,2.7849369049072266
month,2.760859966278076
RH_lag6_r12_std,2.757260322570801
T_r24_mean,2.7223703861236572
C6H6(GT)_lag2_r24_mean,2.683239221572876
CO(GT)_lag3_r3_std,2.670403480529785
CO(GT)_lag2_r6_mean,2.6520943641662598
NOx(GT)_r6_mean,2.6144497394561768
NOx(GT)_lag3_r3_mean,2.604062080383301
CO(GT)_lag2_r3_mean,2.6024539470672607
PT08.S3(NOx)_lag1_r24_mean,2.598902463912964
NMHC(GT)_lag1_r6_mean,2.598238468170166
PT08.S2(NMHC)_lag6_r24_std,2.5776097774505615
PT08.S2(NMHC)_lag1_r12_mean,2.574704885482788
NMHC(GT)_lag12,2.563249111175537
T_lag3_r24_mean,2.552020311355591
PT08.S2(NMHC)_lag12_r6_mean,2.541227340698242
